UTM sone 34 basert på EUREF89;Brukes vanligvis ikke i Norge fra 1998. )  EPSG 25834. Ref INSPIRE Req 7 (ETRS89-TM34);24;25834
UTM sone 35 basert på ED50; EPSG 23035;35;23035
UTM sone 35 basert på EUREF89;Ref INSPIRE Req 7 (ETRS89-TM35))  EPSG 25835;25;25835
UTM sone 36 basert på ED50; EPSG 23036;36;23036
UTM sone 36 basert på EUREF89;Ref INSPIRE Req 7 (ETRS89-TM36))  EPSG 25836;26;25836
WGS84 Geografisk 2d;WGS84 Geografisk 2d, ingen projeksjon, EPSG 4326;184;4326
WGS84 UTM 29 2d;UTM Sone 29 basert på WGS84,2d (horisontal), EPSG 32629;59;32629
WGS84 UTM 30 2d;UTM Sone 30 basert på WGS84,2d (horisontal), EPSG 32630;60;32630
WGS84 UTM 31 2d;UTM Sone 31 basert på WGS84,2d (horisontal), EPSG 32631;61;32631
WGS84 UTM 32 2d;UTM Sone 32 basert på WGS84,2d (horisontal), EPSG 32632;62;32632
WGS84 UTM 33 2d;UTM Sone 33 basert på WGS84,2d (horisontal), EPSG 32633;63;32633
WGS84 UTM 34 2d;UTM Sone 34 basert på WGS84,2d (horisontal), EPSG 32634;64;32634
WGS84 UTM 35 2d;UTM Sone 35 basert på WGS84,2d (horisontal), EPSG 32635;65;32635
WGS84 UTM 36 2d;UTM Sone 36 basert på WGS84,2d (horisontal), EPSG 32636;66;32636
